filename,station,event_id,magnitude,mag_band,t_start,t_origin,status
small_KO.KOZT_636318207.npz,KO.KOZT,636318207,2.0,M1.5-2.0,2023-06-19T23:03:38.400000Z,2023-06-19T23:04:08.400000Z,ok
small_KO.KMRS_636318207.npz,KO.KMRS,636318207,2.0,M1.5-2.0,2023-06-19T23:03:38.400000Z,2023-06-19T23:04:08.400000Z,fail: Gap fraction 0.06 > 0.05
small_KO.KOZT_626673372.npz,KO.KOZT,626673372,1.7,M1.5-2.0,2023-02-27T06:13:22.600000Z,2023-02-27T06:13:52.600000Z,ok
small_KO.KMRS_626673372.npz,KO.KMRS,626673372,1.7,M1.5-2.0,2023-02-27T06:13:22.600000Z,2023-02-27T06:13:52.600000Z,ok
small_KO.KOZT_626666991.npz,KO.KOZT,626666991,1.8,M1.5-2.0,2023-02-15T16:43:48.600000Z,2023-02-15T16:44:18.600000Z,ok
small_KO.KMRS_626666991.npz,KO.KMRS,626666991,1.8,M1.5-2.0,2023-02-15T16:43:48.600000Z,2023-02-15T16:44:18.600000Z,"fail: No data available for request.
HTTP Status code: 204
Detailed response of server"
small_KO.KOZT_642965812.npz,KO.KOZT,642965812,1.7,M1.5-2.0,2023-04-14T08:55:29.000000Z,2023-04-14T08:55:59.000000Z,ok
small_KO.KMRS_642965812.npz,KO.KMRS,642965812,1.7,M1.5-2.0,2023-04-14T08:55:29.000000Z,2023-04-14T08:55:59.000000Z,fail: Missing channels: ['HHN']
small_KO.KOZT_642882663.npz,KO.KOZT,642882663,1.8,M1.5-2.0,2023-03-16T10:26:30.000000Z,2023-03-16T10:27:00.000000Z,ok
small_KO.KMRS_642882663.npz,KO.KMRS,642882663,1.8,M1.5-2.0,2023-03-16T10:26:30.000000Z,2023-03-16T10:27:00.000000Z,ok
small_KO.KOZT_626760249.npz,KO.KOZT,626760249,1.7,M1.5-2.0,2023-03-19T13:53:30.900000Z,2023-03-19T13:54:00.900000Z,ok
small_KO.KMRS_626760249.npz,KO.KMRS,626760249,1.7,M1.5-2.0,2023-03-19T13:53:30.900000Z,2023-03-19T13:54:00.900000Z,ok
small_KO.KOZT_636320067.npz,KO.KOZT,636320067,1.6,M1.5-2.0,2023-07-03T17:40:21.100000Z,2023-07-03T17:40:51.100000Z,ok
small_KO.KMRS_636320067.npz,KO.KMRS,636320067,1.6,M1.5-2.0,2023-07-03T17:40:21.100000Z,2023-07-03T17:40:51.100000Z,fail: Gap fraction 0.20 > 0.05
small_KO.KOZT_636322437.npz,KO.KOZT,636322437,1.8,M1.5-2.0,2023-07-26T05:23:28.800000Z,2023-07-26T05:23:58.800000Z,ok
small_KO.KMRS_636322437.npz,KO.KMRS,636322437,1.8,M1.5-2.0,2023-07-26T05:23:28.800000Z,2023-07-26T05:23:58.800000Z,fail: Gap fraction 0.29 > 0.05
small_KO.KOZT_642695030.npz,KO.KOZT,642695030,1.8,M1.5-2.0,2023-02-25T09:36:05.000000Z,2023-02-25T09:36:35.000000Z,ok
small_KO.KMRS_642695030.npz,KO.KMRS,642695030,1.8,M1.5-2.0,2023-02-25T09:36:05.000000Z,2023-02-25T09:36:35.000000Z,ok
small_KO.KOZT_642692676.npz,KO.KOZT,642692676,1.8,M1.5-2.0,2023-02-18T20:27:26.000000Z,2023-02-18T20:27:56.000000Z,ok
small_KO.KMRS_642692676.npz,KO.KMRS,642692676,1.8,M1.5-2.0,2023-02-18T20:27:26.000000Z,2023-02-18T20:27:56.000000Z,ok
small_KO.KOZT_642873446.npz,KO.KOZT,642873446,1.6,M1.5-2.0,2023-03-12T17:38:44.000000Z,2023-03-12T17:39:14.000000Z,ok
small_KO.KMRS_642873446.npz,KO.KMRS,642873446,1.6,M1.5-2.0,2023-03-12T17:38:44.000000Z,2023-03-12T17:39:14.000000Z,ok
small_KO.KOZT_626669890.npz,KO.KOZT,626669890,1.7,M1.5-2.0,2023-02-21T01:51:07.600000Z,2023-02-21T01:51:37.600000Z,ok
small_KO.KMRS_626669890.npz,KO.KMRS,626669890,1.7,M1.5-2.0,2023-02-21T01:51:07.600000Z,2023-02-21T01:51:37.600000Z,ok
small_KO.KOZT_626666225.npz,KO.KOZT,626666225,1.6,M1.5-2.0,2023-02-14T07:13:49.300000Z,2023-02-14T07:14:19.300000Z,ok
small_KO.KMRS_626666225.npz,KO.KMRS,626666225,1.6,M1.5-2.0,2023-02-14T07:13:49.300000Z,2023-02-14T07:14:19.300000Z,"fail: No data available for request.
HTTP Status code: 204
Detailed response of server"
small_KO.KOZT_626760563.npz,KO.KOZT,626760563,1.9,M1.5-2.0,2023-03-20T09:45:57.900000Z,2023-03-20T09:46:27.900000Z,ok
small_KO.KMRS_626760563.npz,KO.KMRS,626760563,1.9,M1.5-2.0,2023-03-20T09:45:57.900000Z,2023-03-20T09:46:27.900000Z,ok
small_KO.KOZT_642695208.npz,KO.KOZT,642695208,1.7,M1.5-2.0,2023-02-25T19:40:10.000000Z,2023-02-25T19:40:40.000000Z,ok
small_KO.KMRS_642695208.npz,KO.KMRS,642695208,1.7,M1.5-2.0,2023-02-25T19:40:10.000000Z,2023-02-25T19:40:40.000000Z,ok
small_KO.KOZT_636315526.npz,KO.KOZT,636315526,1.7,M1.5-2.0,2023-06-03T14:48:58.000000Z,2023-06-03T14:49:28.000000Z,ok
small_KO.KMRS_636315526.npz,KO.KMRS,636315526,1.7,M1.5-2.0,2023-06-03T14:48:58.000000Z,2023-06-03T14:49:28.000000Z,"fail: Missing channels: ['HHZ', 'HHE']"
small_KO.KOZT_626666345.npz,KO.KOZT,626666345,2.0,M1.5-2.0,2023-02-14T11:41:46.900000Z,2023-02-14T11:42:16.900000Z,ok
small_KO.KMRS_626666345.npz,KO.KMRS,626666345,2.0,M1.5-2.0,2023-02-14T11:41:46.900000Z,2023-02-14T11:42:16.900000Z,ok
small_KO.KOZT_626671416.npz,KO.KOZT,626671416,2.0,M1.5-2.0,2023-02-23T16:09:41.800000Z,2023-02-23T16:10:11.800000Z,ok
small_KO.KMRS_626671416.npz,KO.KMRS,626671416,2.0,M1.5-2.0,2023-02-23T16:09:41.800000Z,2023-02-23T16:10:11.800000Z,"fail: Missing channels: ['HHN', 'HHE']"
small_KO.KOZT_636306187.npz,KO.KOZT,636306187,1.7,M1.5-2.0,2023-04-16T20:10:13.700000Z,2023-04-16T20:10:43.700000Z,ok
